Season,TeamName,AdjO,AdjD,AdjEM
2004,California,103.7,98.2,5.51
2004,Austin Peay,100.1,94.6,5.49
2004,Niagara,111.5,106.1,5.45
2004,Belmont,106.0,100.8,5.22
2004,Fairfield,102.2,97.3,4.95
2004,Clemson,102.1,97.1,4.93
2004,Princeton,106.3,101.4,4.86
2004,Buffalo,107.6,102.9,4.67
2004,Miami FL,107.4,102.8,4.6
2004,San Diego St,105.0,100.6,4.49
2004,Toledo,109.0,104.7,4.36
2004,East Carolina,104.7,100.4,4.35
2004,Wyoming,104.7,100.3,4.34
2004,New Mexico,110.3,106.1,4.19
2004,Col Charleston,105.5,101.6,3.92
2004,IUPUI,110.7,106.9,3.85
2004,WKU,111.2,107.4,3.8
2004,Louisiana Tech,102.6,98.8,3.8
2004,UNC Wilmington,98.7,95.0,3.66
2004,Santa Barbara,101.9,98.5,3.45
2004,Miami OH,104.5,101.1,3.43
2004,Virginia Tech,101.9,98.8,3.16
2004,Georgetown,99.1,96.0,3.1
2004,E Washington,105.4,102.3,3.09
2004,Washington St,100.9,97.9,3.04
2004,Boston Univ,102.5,99.5,3.01
2004,Mississippi,102.7,99.7,2.99
2004,Pepperdine,113.7,110.8,2.93
2004,Butler,107.5,104.7,2.77
2004,Colorado St,104.3,101.6,2.63
2004,USC,104.6,102.3,2.32
2004,Minnesota,105.2,103.0,2.23
2004,Georgia St,104.5,102.6,1.88
2004,MTSU,103.4,101.6,1.81
2004,SMU,105.2,103.5,1.72
2004,Davidson,103.6,102.1,1.55
2004,Ball St,103.3,101.9,1.47
2004,SF Austin,99.6,98.2,1.45
2004,Hofstra,105.7,104.3,1.42
2004,Oral Roberts,109.4,108.1,1.3
2004,Arizona St,107.6,106.3,1.29
2004,Ga Southern,100.9,99.6,1.27
2004,UCLA,102.7,101.4,1.24
2004,Chattanooga,111.2,110.0,1.18
2004,Duquesne,104.5,103.5,1.01
2004,Missouri KC,105.7,105.0,0.72
2004,Ohio St,107.9,107.2,0.71
2004,Oregon St,102.8,102.1,0.66
2004,Delaware,99.3,98.6,0.62
2004,Ark Little Rock,101.0,100.4,0.58
2004,Valparaiso,100.1,99.6,0.53
2004,Tulsa,102.2,102.0,0.16
2004,TCU,102.9,102.8,0.08
2004,Drake,100.9,100.9,-0.03
2004,WI Green Bay,101.7,101.7,-0.04
2004,Santa Clara,101.8,102.0,-0.13
2004,Idaho,99.7,100.0,-0.31
2004,Akron,106.3,106.7,-0.45
2004,Arkansas St,105.8,106.3,-0.47
2004,St Peter's,108.1,108.6,-0.51
2004,Portland,105.0,105.6,-0.63
2004,Bradley,98.6,99.3,-0.69
2004,Furman,101.6,102.4,-0.76
2004,Oakland,104.3,105.3,-0.98
2004,Birmingham So,107.5,108.6,-1.1
2004,New Orleans,102.6,103.7,-1.11
2004,MS Valley St,99.4,100.5,-1.13
2004,Wright St,104.2,105.3,-1.15
2004,Weber St,105.9,107.0,-1.17
2004,Holy Cross,96.8,98.0,-1.23
2004,Vermont,101.0,102.4,-1.37
2004,Centenary,102.6,104.1,-1.53
2004,San Francisco,100.1,101.7,-1.61
2004,Bowling Green,104.7,106.4,-1.71
2004,Southern Miss,100.5,102.2,-1.72
2004,Illinois St,101.4,103.4,-1.98
2004,Denver,103.9,105.9,-2.02
2004,CS Northridge,99.7,102.0,-2.27
2004,Marshall,101.2,103.6,-2.44
2004,Liberty,98.3,100.8,-2.5
2004,Loy Marymount,97.4,100.2,-2.81
2004,La Salle,103.0,106.1,-3.02
2004,Massachusetts,103.0,106.1,-3.13
2004,American Univ,102.7,105.8,-3.16
2004,Northern Arizona,102.1,105.4,-3.33
2004,South Alabama,103.1,106.4,-3.39
2004,Ohio,101.2,104.6,-3.41
2004,Texas A&M,105.6,109.2,-3.58
2004,Indiana St,97.0,100.7,-3.69
2004,Loyola-Chicago,101.0,104.9,-3.94
2004,SE Louisiana,101.4,105.3,-3.96
2004,Iona,101.6,105.6,-3.98
2004,Monmouth NJ,98.1,102.1,-3.99
2004,Yale,99.7,103.8,-4.07
2004,UC Riverside,101.9,106.0,-4.12
2004,E Kentucky,102.2,106.4,-4.18
2004,Northeastern,103.0,107.3,-4.26
2004,New Mexico St,98.3,102.6,-4.28
2004,St John's,98.9,103.2,-4.31
2004,Brown,101.8,106.2,-4.35
2004,Morehead St,107.1,111.6,-4.45
2004,CS Sacramento,98.6,103.2,-4.57
2004,Maine,99.0,103.5,-4.57
2004,UT Arlington,103.9,108.5,-4.64
2004,Cal Poly SLO,101.1,105.8,-4.69
2004,Bucknell,96.6,101.3,-4.69
2004,Evansville,104.7,109.4,-4.76
2004,UC Irvine,101.4,106.2,-4.79
2004,CS Fullerton,102.9,107.8,-4.85
2004,Portland St,96.6,101.5,-4.9
2004,Siena,100.7,105.7,-5.03
2004,Appalachian St,95.6,100.7,-5.05
2004,North Texas,101.1,106.2,-5.06
2004,TAM C. Christi,102.4,107.5,-5.13
2004,E Michigan,99.2,104.4,-5.17
2004,South Florida,99.7,104.9,-5.21
2004,Lafayette,106.6,111.9,-5.28
2004,S Carolina St,101.0,106.3,-5.32
2004,Houston,93.9,99.4,-5.5
2004,SE Missouri St,107.4,113.1,-5.66
2004,Montana St,97.1,102.8,-5.69
2004,N Illinois,100.6,106.5,-5.89
2004,Rider,100.0,106.1,-6.17
2004,Tulane,97.8,104.0,-6.21
2004,F Dickinson,100.1,106.3,-6.23
2004,Penn St,97.2,103.5,-6.35
2004,Winthrop,99.8,106.2,-6.36
2004,UNC Greensboro,102.2,108.7,-6.52
2004,Central Conn,101.9,108.4,-6.53
2004,Cornell,100.1,106.7,-6.57
2004,Baylor,102.0,108.7,-6.63
2004,William & Mary,105.4,112.0,-6.66
2004,Chicago St,101.7,108.4,-6.66
2004,Canisius,100.5,107.2,-6.68
2004,Tennessee Tech,104.2,111.0,-6.76
2004,W Carolina,98.0,104.9,-6.88
2004,McNeese St,99.5,106.4,-6.92
2004,Jacksonville St,104.8,111.7,-6.96
2004,Lehigh,97.7,104.7,-7.01
2004,Coppin St,95.0,102.0,-7.05
2004,Coastal Car,98.4,105.5,-7.11
2004,San Jose St,99.2,106.3,-7.14
2004,St Francis NY,98.0,105.2,-7.22
2004,FL Atlantic,99.9,107.2,-7.28
2004,Montana,99.0,106.3,-7.28
2004,Mercer,103.0,110.3,-7.29
2004,UT San Antonio,98.0,105.7,-7.69
2004,Youngstown St,97.6,105.8,-8.13
2004,UTRGV,95.3,103.5,-8.19
2004,Delaware St,99.9,108.4,-8.46
2004,Elon,99.0,107.7,-8.69
2004,TN Martin,99.6,108.5,-8.87
2004,St Bonaventure,100.8,109.7,-8.95
2004,High Point,97.9,107.1,-9.19
2004,Florida A&M,98.9,108.3,-9.35
2004,Samford,98.9,108.3,-9.45
2004,Texas St,101.7,111.2,-9.46
2004,Northwestern LA,95.7,105.3,-9.61
2004,Binghamton,91.4,101.1,-9.69
2004,Southern Utah,100.7,110.5,-9.85
2004,Fordham,96.5,106.4,-9.91
2004,Idaho St,101.5,111.6,-10.15
2004,James Madison,99.8,110.0,-10.19
2004,Tennessee St,103.6,113.9,-10.29
2004,Alabama St,93.8,104.5,-10.72
2004,Columbia,95.2,105.9,-10.76
2004,Hampton,98.2,109.2,-10.91
2004,St Francis PA,100.3,111.4,-11.1
2004,Robert Morris,101.4,112.9,-11.5
2004,Sam Houston St,97.4,108.9,-11.53
2004,Mt St Mary's,96.7,108.3,-11.6
2004,C Michigan,97.6,109.3,-11.69
2004,Stetson,95.6,107.4,-11.74
2004,ULM,93.2,105.0,-11.86
2004,Wagner,95.7,107.6,-11.92
2004,Gardner Webb,97.2,109.3,-12.03
2004,Towson,94.7,106.9,-12.15
2004,E Illinois,95.6,107.9,-12.32
2004,Colgate,99.1,111.5,-12.4
2004,San Diego,100.0,112.4,-12.41
2004,Sacred Heart,97.9,110.4,-12.44
2004,Cleveland St,93.5,106.0,-12.53
2004,Lamar,97.2,109.8,-12.63
2004,UMBC,94.1,107.0,-12.88
2004,IPFW,97.8,110.7,-12.89
2004,Wofford,98.7,111.7,-12.98
2004,Radford,96.0,109.0,-13.01
2004,Jacksonville,97.2,110.3,-13.11
2004,Southern Univ,96.6,110.0,-13.49
2004,Jackson St,88.4,102.2,-13.87
2004,Marist,93.1,107.0,-13.91
2004,New Hampshire,93.5,107.6,-14.06
2004,Long Beach St,96.2,110.3,-14.09
2004,Hartford,95.6,109.7,-14.16
2004,Stony Brook,95.4,110.1,-14.69
2004,Morgan St,96.4,111.2,-14.78
2004,TX Southern,87.9,103.3,-15.39
2004,Grambling,93.4,108.9,-15.43
2004,Quinnipiac,98.2,113.8,-15.58
2004,Norfolk St,92.3,108.4,-16.07
2004,Alabama A&M,95.3,111.6,-16.33
2004,Long Island,92.8,109.4,-16.6
2004,W Illinois,95.8,112.9,-17.12
2004,UNC Asheville,93.4,110.6,-17.15
2004,Lipscomb,96.8,114.3,-17.5
2004,Harvard,90.0,108.1,-18.14
2004,Charleston So,90.6,108.8,-18.21
2004,Howard,87.4,106.8,-19.39
2004,Albany NY,87.6,107.4,-19.86
2004,Florida Intl,84.0,104.8,-20.85
2004,Alcorn St,91.9,112.9,-20.96
2004,Bethune-Cookman,90.2,112.1,-21.96
2004,Campbell,91.7,114.3,-22.61
2004,Loyola MD,89.5,113.0,-23.48
2004,Savannah St,85.3,109.0,-23.73
2004,Nicholls St,90.2,114.2,-24.0
2004,Citadel,86.7,110.8,-24.04
2004,Dartmouth,87.8,112.3,-24.48
2004,VMI,83.3,108.0,-24.63
2004,Prairie View,89.2,113.8,-24.63
2004,MD E Shore,91.0,115.9,-24.91
2004,NC A&T,76.8,103.4,-26.66
2004,Navy,81.9,109.2,-27.26
